Created By,Last Submitter,Record Uuid,Start Record Date,End Record Date,Last Submission Date,gps_stamp_latitude,gps_stamp_longitude,gps_stamp_accuracy,Cooking_devices.Microwave,Cooking_devices.Oven,Cooking_devices.Stovetop,Cooking_devices.Toaster,Cooking_devices.Toaster Oven,Cooking_devices.Electric Kettle,Cooking_devices.Crockpot/Instant Pot,Cooking_devices.Electric Skillet,Microwave.I was reheating leftovers,Microwave.I was boiling water,Microwave.I was thawing something,Microwave.I was baking something,Microwave.I was roasting something,Microwave.I was toasting something,Microwave.I was preparing something that was previously frozen,Microwave.I was following instructions,Microwave.This method required fewer dishes than if I were to use an alternative method,Microwave.This method is faster than alternative methods,Microwave.This method provides a better texture than alternative methods,Microwave.This method provides a better taste than alternative methods,Oven.I was reheating leftovers,Oven.I was boiling water,Oven.I was thawing something,Oven.I was baking something,Oven.I was roasting something,Oven.I was toasting something,Oven.I was preparing something that was previously frozen,Oven.I was following instructions,Oven.This method required fewer dishes than if I were to use a microwave,Oven.This method is faster than using a microwave,Oven.This method provides a better texture than using a microwave,Oven.This method provides a better taste than using a microwave,Stovetop.I was reheating leftovers,Stovetop.I was boiling water,Stovetop.I was thawing something,Stovetop.I was baking something,Stovetop.I was roasting something,Stovetop.I was toasting something,Stovetop.I was preparing something that was previously frozen,Stovetop.I was following instructions,Stovetop.This method required fewer dishes than if I were to use a microwave,Stovetop.This method is faster than using a microwave,Stovetop.This method provides a better texture than using a microwave,Stovetop.This method provides a better taste than using a microwave,Toaster.I was reheating leftovers,Toaster.I was boiling water,Toaster.I was thawing something,Toaster.I was baking something,Toaster.I was roasting something,Toaster.I was toasting something,Toaster.I was preparing something that was previously frozen,Toaster.I was following instructions,Toaster.This method required fewer dishes than if I were to use a microwave,Toaster.This method is faster than using a microwave,Toaster.This method provides a better texture than using a microwave,Toaster.This method provides a better taste than using a microwave,Toaster_Oven_copy.I was reheating leftovers,Toaster_Oven_copy.I was boiling water,Toaster_Oven_copy.I was thawing something,Toaster_Oven_copy.I was baking something,Toaster_Oven_copy.I was roasting something,Toaster_Oven_copy.I was toasting something,Toaster_Oven_copy.I was preparing something that was previously frozen,Toaster_Oven_copy.I was following instructions,Toaster_Oven_copy.This method required fewer dishes than if I were to use a microwave,Toaster_Oven_copy.This method is faster than using a microwave,Toaster_Oven_copy.This method provides a better texture than using a microwave,Toaster_Oven_copy.This method provides a better taste than using a microwave,Electric_Kettle.I was reheating leftovers,Electric_Kettle.I was boiling water,Electric_Kettle.I was thawing something,Electric_Kettle.I was baking something,Electric_Kettle.I was roasting something,Electric_Kettle.I was toasting something,Electric_Kettle.I was preparing something that was previously frozen,Electric_Kettle.I was following instructions,Electric_Kettle.This method required fewer dishes than if I were to use a microwave,Electric_Kettle.This method is faster than using a microwave,Electric_Kettle.This method provides a better texture than using a microwave,Electric_Kettle.This method provides a better taste than using a microwave,Crockpot_InstantPot.I was reheating leftovers,Crockpot_InstantPot.I was boiling water,Crockpot_InstantPot.I was thawing something,Crockpot_InstantPot.I was baking something,Crockpot_InstantPot.I was roasting something,Crockpot_InstantPot.I was toasting something,Crockpot_InstantPot.I was preparing something that was previously frozen,Crockpot_InstantPot.I was following instructions,Crockpot_InstantPot.This method required fewer dishes than if I were to use a microwave,Crockpot_InstantPot.This method is faster than using a microwave,Crockpot_InstantPot.This method provides a better texture than using a microwave,Crockpot_InstantPot.This method provides a better taste than using a microwave,Electric_Skillet.I was reheating leftovers,Electric_Skillet.I was boiling water,Electric_Skillet.I was thawing something,Electric_Skillet.I was baking something,Electric_Skillet.I was roasting something,Electric_Skillet.I was toasting something,Electric_Skillet.I was preparing something that was previously frozen,Electric_Skillet.I was following instructions,Electric_Skillet.This method required fewer dishes than if I were to use a microwave,Electric_Skillet.This method is faster than using a microwave,Electric_Skillet.This method provides a better texture than using a microwave,Electric_Skillet.This method provides a better taste than using a microwave
peiffer.erin@gmail.com,peiffer.erin@gmail.com,1F52B6F8-E876-40F1-B507-B250A97D9BB1-1587583647806,4/22/2020 12:27,4/22/2020 12:27,4/22/2020 12:27,,,,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
peiffer.erin@gmail.com,peiffer.erin@gmail.com,1F52B6F8-E876-40F1-B507-B250A97D9BB1-1587583724201,4/22/2020 12:27,4/22/2020 12:28,4/22/2020 12:28,,,,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
peiffer.erin@gmail.com,peiffer.erin@gmail.com,1F52B6F8-E876-40F1-B507-B250A97D9BB1-1587583806557,4/22/2020 12:28,4/22/2020 12:30,4/22/2020 12:30,,,,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
peiffer.erin@gmail.com,peiffer.erin@gmail.com,1F52B6F8-E876-40F1-B507-B250A97D9BB1-1587583835944,4/22/2020 12:30,4/22/2020 12:30,4/22/2020 12:30,,,,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
peiffer.erin@gmail.com,peiffer.erin@gmail.com,1F52B6F8-E876-40F1-B507-B250A97D9BB1-1587583905796,4/22/2020 12:30,4/22/2020 12:31,4/22/2020 12:31,,,,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
peiffer.erin@gmail.com,peiffer.erin@gmail.com,1F52B6F8-E876-40F1-B507-B250A97D9BB1-1587583921137,4/22/2020 12:31,4/22/2020 12:32,4/22/2020 12:32,,,,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
peiffer.erin@gmail.com,peiffer.erin@gmail.com,1F52B6F8-E876-40F1-B507-B250A97D9BB1-1587583965464,4/22/2020 12:32,4/22/2020 12:32,4/22/2020 12:32,,,,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
peiffer.erin@gmail.com,peiffer.erin@gmail.com,1F52B6F8-E876-40F1-B507-B250A97D9BB1-1587583990814,4/22/2020 12:32,4/22/2020 12:33,4/22/2020 12:33,,,,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
peiffer.erin@gmail.com,peiffer.erin@gmail.com,1F52B6F8-E876-40F1-B507-B250A97D9BB1-1587584012228,4/22/2020 12:33,4/22/2020 12:33,4/22/2020 12:33,,,,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
peiffer.erin@gmail.com,peiffer.erin@gmail.com,1F52B6F8-E876-40F1-B507-B250A97D9BB1-1587584052964,4/22/2020 12:33,4/22/2020 12:34,4/22/2020 12:34,,,,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
